Number,Gender,GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,Age,Color,Occupation,Company,Vehicle,Domain,BloodType,Kilograms,Centimeters,Birthday
448,female,Klara,Alfreðsdóttir,Grýtubakki 8,Vík,871,KlaraAlfredsdottir@einrot.com,446 1263,77,Blue,Construction electrician,Magik Gray,1998 BMW 325,MongoliaTrip.is,A+,53.7,164,2/28/1942
449,male,Stígur,Ingibergsson,Golfskálinn 55,Borgarnes,310,StigurIngibergsson@dayrep.com,456 0444,83,Blue,Scientific photographer,Sunny Real Estate Investments,2015 Nissan Sentra,CommonLawn.is,O-,74.5,166,5/25/1936
450,female,Hansína,Bernódusdóttir,Laufásgötu 42,Vestmannaeyjar,902,HansinaBernodusdottir@rhyta.com,476 3848,58,Green,Poet,The Goose and Duck,2004 Kia Sportage,BuilderTimes.is,A+,85.4,158,3/31/1961
451,male,Baldur,Rósuson,Sigtuni 12,Reykjavík,104,BaldurRosuson@armyspy.com,422 6090,79,Blue,Life skill counselor,Pacific Stereo,2000 GMC Jimmy,GravelBags.is,A+,81.6,173,1/21/1940
452,female,Ruth,Þorvarðardóttir,Kringlan 46,Reykjavík,107,RuthTHorvardardottir@armyspy.com,427 2764,26,Purple,Computer operator,Full Color,2009 Pontiac G5,WealthBoat.is,B+,89.6,173,12/6/1992
453,female,Sigurborg,Héðinsdóttir,Bergstaðarstræti 75,Reykjavík,103,SigurborgHedinsdottir@einrot.com,455 9853,67,Purple,Design consultant,Budget Tapes & Records,1999 Bentley Brooklands,CubanExpeditions.is,B+,66.1,152,11/2/1951
454,male,Indriði,Edgarsson,Alfaskeid 32,Hafnafjörður,222,IndridiEdgarsson@teleworm.us,420 2995,21,Blue,Media outreach specialist,Pearl Architectural Design,1998 Nissan El Grand,PoloFestival.is,O+,63,169,7/14/1998
455,male,Unnsteinn,Márusson,Höfðabraut 63,Hvammstangi,531,UnnsteinnMarusson@cuvox.de,439 3963,80,Green,Weigher,Cut Above,2004 Buick Rainier,DeliReviews.is,O+,87.8,168,10/17/1938
456,male,Vagn,Árnþórsson,Gerðuberg 67,Grímsey,611,VagnArnthorsson@einrot.com,472 2340,40,Green,Payroll coordinator,Crandall's Fine Furniture,2011 Nissan Leaf,QuestDrive.is,B+,63.6,183,1/6/1979
457,male,Haraldur,Magnason,Golfskálinn 90,Borgarnes,310,HaraldurMagnason@einrot.com,419 6404,73,Green,Attendance clerk,Wild Oats Markets,1996 Toyota Lexcen,GettingTV.is,B+,83.4,174,8/13/1946
458,male,Hólmar,Marteinsson,Bjarkarstígur 53,Þingeyri,470,HolmarMarteinsson@gustr.com,486 6151,21,Orange,Coast Guard,The Happy Bear,1993 Ginetta G27,CheapKnits.is,B+,93.2,182,8/9/1998
459,male,Arnór,Erlingsson,Aðalstræti 84,Stokkseyri,825,ArnorErlingsson@superrito.com,439 4996,60,Blue,Field sales supervisor,Specific Appraisals,2005 Ariel Atom,HelpHours.is,B+,106.2,174,9/15/1959
460,female,Valborg,Pétursdóttir,Vesturgata 42,Reykjavík,155,ValborgPetursdottir@dayrep.com,426 2133,24,Brown,News vendor,Knockout Kickboxing,2003 Toyota Solara,DesmoinesMechanics.is,B-,53.1,162,5/3/1995
461,male,Bergsveinn,Bragason,Þjónustusvæði 16,Borgarfjörður,720,BergsveinnBragason@fleckens.hu,460 5314,33,Blue,Merchant marine officer,Rustler Steak House,1999 Holden Commodore,SternReview.is,A+,89,174,2/23/1986
462,male,Heimir,Ingþórsson,Adalstraeti 57,Akureyri,602,HeimirIngthorsson@dayrep.com,455 1141,68,Green,Literary interpreter,Littler's,2001 BMW Z8,Gadgetless.is,A+,77.4,165,8/6/1951
463,female,Jakobína,Grímsdóttir,Hrútafjörður 31,Brú,500,JakobinaGrimsdottir@dayrep.com,471 9547,21,Black,Copy writer,Pacific Stereo,2010 Maserati Quattroporte,ContactLocations.is,O+,87.8,166,5/3/1998
464,male,Egill,Oddsson,Borgarholtsbraut 37,Kópavogur,200,EgillOddsson@jourrapide.com,444 3985,31,Blue,Hairstylist,Vitamax Health Food Center,2002 Fiat Punto,HiTitle.is,A+,79.4,181,11/9/1987
465,female,Freyja,Einarsdóttir,Sundlaugavegur 97,Keflavík,232,FreyjaEinarsdottir@cuvox.de,428 2717,74,Black,Machine tender,Gemco,2008 Renault Grand Espace,SarasotaPalms.is,A+,80.5,153,10/11/1944
466,female,Katla,Kristbjörnsdóttir,Sorlaskeid 4,Hafnafjörður,220,KatlaKristbjornsdottir@fleckens.hu,440 9084,63,Blue,Employee benefits specialist,Future Bright,1993 Peugeot 405,PestPetrol.is,O+,65,154,3/24/1956
467,female,Lára,Ólafsdóttir,Vogaland 69,Djúpivogur,765,LaraOlafsdottir@gustr.com,451 0127,56,Brown,Subway operator,Superior Interior Design,1996 Ford Thunderbird,NetworkingMind.is,A-,93.8,154,8/1/1963
468,female,Kristíana,Þorkelsdóttir,Nordurvegur 69,Hrísey,630,KristianaTHorkelsdottir@einrot.com,451 3452,54,Orange,Glass repairer,id Boutiques,2006 Morgan Aero,LiquidBoxes.is,B+,75.3,159,2/5/1965
469,male,Reimar,Hrafnsson,Þórunnarstræti 76,Skagaströnd,545,ReimarHrafnsson@fleckens.hu,445 5391,44,Green,Water transportation pilot,Independent Investors,2006 Aston Martin DB9,PlatinumVoice.is,O+,105.4,184,11/17/1974
470,male,Smári,Loftsson,Armúli 4,Reykjavík,130,SmariLoftsson@superrito.com,443 8554,63,Blue,Conservator,Little Tavern,2008 Koenigsegg CCX,EgoSave.is,O+,89.1,185,3/14/1956
471,male,Hartmann,Þórisson,Tryggvabraut 56,Seyðisfjörður,710,HartmannTHorisson@teleworm.us,429 7035,36,Blue,Horse breeder,Liberty Wealth Planner,1992 Ford Granada,Gymzine.is,O+,75.7,187,1/14/1983
472,female,Lára,Alfreðsdóttir,Holtagata 24,Drangsnes,520,LaraAlfredsdottir@cuvox.de,420 6179,33,Blue,Air traffic controller,World of Fun,2007 Mahindra Scorpio,SwimCircuit.is,O+,95.7,156,5/7/1986
473,female,Arnþrúður,Lúthersdóttir,Fífubarð 90,Eyrabakki,820,ArnthrudurLuthersdottir@einrot.com,459 9141,77,Blue,Brattice builder,Gantos,2005 Kia Picanto,ProvidenceGym.is,O+,65.7,153,8/25/1942
474,male,Jónmundur,Ástvaldsson,Nordurvegur 97,Hrísey,630,JonmundurAstvaldsson@gustr.com,426 0686,55,Blue,Cleaning washing and metal pickling equipment tender,Knox Lumber,2008 Maybach 57,TreasureDirectory.is,O+,70.9,172,7/25/1964
475,male,Bergmundur,Eðvaldsson,Kringlan 88,Reykjavík,107,BergmundurEdvaldsson@fleckens.hu,483 9290,78,Blue,Nuclear engineer,Freedom Map,2002 Lada 2123,PublicAttractions.is,O+,62.7,164,4/3/1941
476,female,Jensína,Guðmundsdóttir,Þjónustusvæði 16,Borgarfjörður,720,JensinaGudmundsdottir@gustr.com,478 3569,32,Purple,Textile presser,Lawn N' Order Garden Care,2009 Mazda Premacy,PitchingStats.is,A+,68.2,163,3/25/1987
477,female,Sóldís,Sigmarsdóttir,Holmatun 4,Bessastaðahreppur,225,SoldisSigmarsdottir@armyspy.com,488 1157,19,Red,ATF agent,Murray's Discount Auto Stores,2011 BMW 530,OnlyAdvantage.is,O+,88.2,161,9/24/1999
478,male,Hrafn,Guðbjörnsson,Grundargötu 14,Grundarfjörður,350,HrafnGudbjornsson@jourrapide.com,482 3019,54,Blue,Electronic equipment repairer,Deco Refreshments Inc.,2005 Hyundai Santa Fe,TravelOdds.is,B+,80.6,170,1/17/1965
479,male,Ásgrímur,Karlsson,Suðurgata 93,Sauðarkrókur,550,AsgrimurKarlsson@cuvox.de,469 5490,46,Blue,Computer support specialist,Sunflower Market,2008 GMC Acadia,ReflexBlog.is,AB-,103.3,169,3/18/1973
480,female,Elfa,Guðnadóttir,Borgarholtsbraut 7,Kópavogur,200,ElfaGudnadottir@teleworm.us,425 0594,47,Blue,Home inspector,Planet Profit,2011 Mitsubishi Pajero,KosherNames.is,B-,85.7,169,9/17/1972
481,female,Þórunn,Hrafnsdóttir,Alfaskeid 16,Hafnafjörður,222,THorunnHrafnsdottir@einrot.com,479 3213,67,Purple,Reinforcing iron and rebar worker,Parade of Shoes,2008 Chevrolet Kalos,TradersRank.is,B+,101.3,162,1/6/1952
482,female,Harpa,Gunnlaugsdóttir,Skolavordustig 58,Reykjavík,132,HarpaGunnlaugsdottir@rhyta.com,489 2569,79,Blue,Instructional designer,Balanced Fortune,2012 Mazda CX-9,ChipFirm.is,A+,61.2,168,3/22/1940
483,female,Oddrún,Bárudóttir,Þorsteinsgata 18,Neskaupstaður,740,OddrunBarudottir@fleckens.hu,426 2071,35,Purple,Manicurist,Pro Garden Management,2003 Mahindra Armada,WhoIsCompany.is,B+,67.6,174,1/3/1984
484,female,Ellen,Steindórsdóttir,Álfabyggð 28,Þingeyri,471,EllenSteindorsdottir@cuvox.de,460 7147,51,Yellow,Music conductor,Chief Auto Parts,1992 Renault 25,NameJoker.is,O+,69.7,164,6/19/1968
485,male,Þórhallur,Hreiðarsson,Adalstraeti 54,Akureyri,602,THorhallurHreidarsson@jourrapide.com,423 6366,34,Orange,Optometrist,Gov Mart,2008 Tesla Roadster,FlightCut.is,A-,112.4,178,11/29/1984
486,female,Elísa,Þorkelsdóttir,Norðurbraut 98,Reykjavík,112,ElisaTHorkelsdottir@jourrapide.com,471 6899,73,Green,Cleaning washing and metal pickling equipment operator,Handy Andy Home Improvement Center,2004 Bentley Azure,PrivateClosets.is,O+,73.2,160,5/25/1946
487,male,Vésteinn,Hjaltason,Alfaskeid 1,Hafnafjörður,222,VesteinnHjaltason@superrito.com,434 2395,52,Black,Travel consultant,STM Auto Parts,2008 BMW 745,FriendRocket.is,A+,93.6,187,4/19/1967
488,male,Ingi,Annýjarson,Hrútafjörður 52,Brú,500,IngiAnnyjarson@jourrapide.com,461 0892,20,Blue,Milling and planing machine tender,Infinite Wealth,2005 Lancia Thesis,ToddlerToothpaste.is,A+,60.2,186,12/2/1998
489,female,Elísa,Ingólfsdóttir,Breidamork 20,Hveragerði,810,ElisaIngolfsdottir@fleckens.hu,482 1475,77,Blue,Botanist,Monsource,2010 Dodge Challenger,TreeYard.is,B+,48.6,152,11/27/1941
490,female,Hafrún,Þorgrímsdóttir,Tungata 88,Höfn,781,HafrunTHorgrimsdottir@jourrapide.com,418 6927,24,Blue,Support staff specialist,Huffman and Boyle,1992 Seat Marbella,IsMyMomHot.is,O+,47.3,158,11/29/1994
491,male,Brynjar,Þorbjörnsson,Sundabakki 50,Ólafsvík,355,BrynjarTHorbjornsson@superrito.com,443 6366,52,Blue,Wildlife officer,Courtesy Hardware Store,2003 Daihatsu Copen,KillerElephants.is,A+,70.2,178,6/7/1967
492,male,Hinrik,Þorkelsson,Sigtuni 5,Reykjavík,104,HinrikTHorkelsson@superrito.com,479 5570,70,Blue,Gemologist,Erol's,2008 Skoda Octavia,RentalMaids.is,O+,100.5,178,9/17/1949
493,male,Karl,Árnason,Hafnarbraut 32,Hólmavík,510,KarlArnason@dayrep.com,438 1132,43,Brown,Computer security specialist,KB Toys,1993 Mercedes-Benz S,OnDemandTracking.is,O+,115.7,173,11/13/1975
494,female,Andrea,Valbergsdóttir,Fífubarð 98,Eyrabakki,820,AndreaValbergsdottir@rhyta.com,488 1295,53,Blue,Podiatric medical assistant,Colonial Stores,2002 Aston Martin V12,SaltLakeCityFlower.is,A+,99.9,166,8/6/1966
495,female,Díana,Bergsdóttir,Fjolnisgata 35,Akureyri,600,DianaBergsdottir@jourrapide.com,447 6133,58,Blue,Landscape architect,Asian Junction,1996 Honda Accord,FemaleCamp.is,O+,88.1,155,4/29/1961
496,male,Ingimundur,Sólmundsson,Ártún 66,Reykjavík,110,IngimundurSolmundsson@cuvox.de,429 6004,69,Blue,Bucker,Fedco,2004 Noble M14,OnsiteTrainer.is,A+,73.5,173,9/26/1949
497,male,Steinn,Hreiðarsson,Lindargata 84,Sandgerði,245,SteinnHreidarsson@gustr.com,481 3676,52,Blue,Fisher,Mostow Co.,2014 Cadillac ATS,HospitalityPackage.is,A+,94.8,167,4/16/1967
498,female,Eydís,Vilhjálmsdóttir,Hafnarbraut 86,Hólmavík,510,EydisVilhjalmsdottir@fleckens.hu,449 1996,68,Orange,Signal and track switch repairer,The Pink Pig Tavern,1994 Rover Range Rover,RentalVa.is,AB+,79.4,168,11/5/1950
499,male,Ingi,Felixson,Skíðabraut 16,Dalvík,620,IngiFelixson@rhyta.com,475 9482,62,Black,Tire builder,Keeney's,1994 Rover 800,EntertainmentGazette.is,B+,106.3,184,6/14/1957
500,female,Brynhildur,Ingólfsdóttir,Hagatorg 17,Reykjavík,101,BrynhildurIngolfsdottir@cuvox.de,455 7441,24,Blue,Engraver,House Of Denmark,2001 Mercedes-Benz Smart,ExpressWeek.is,O+,48.3,155,12/22/1994
501,male,Arnsteinn,Hreggviðsson,Þorsteinsgata 73,Neskaupstaður,740,ArnsteinnHreggvidsson@gustr.com,466 5265,42,Blue,Fabricator,Kelly and Cohen,2010 Toyota Prius,RandomSearching.is,A-,85,174,9/3/1977
502,male,Hjálmar,Skúlason,Sundabakki 41,Ólafsvík,355,HjalmarSkulason@fleckens.hu,457 2152,20,Blue,New accounts clerk,Bombay Company,1998 Daewoo Prince,WirelessCamps.is,A-,70,180,12/23/1998
503,female,Þrúður,Bjarnadóttir,Grýtubakki 32,Vík,871,THrudurBjarnadottir@jourrapide.com,425 9430,22,Blue,Furnace kiln oven drier and kettle operator,Casa Bonita,1995 Hyundai Scoupe,TVIncentives.is,O-,50,168,3/20/1997
504,male,Albert,Edgarsson,Sævar 38,Húsavík,640,AlbertEdgarsson@jourrapide.com,426 5183,30,Yellow,Water transportation pilot,Custom Lawn Service,2014 Audi A5,RewardMax.is,A+,91.7,176,7/8/1989
505,male,Jónatan,Lúðvíksson,Sorlaskeid 9,Hafnafjörður,220,JonatanLudviksson@superrito.com,417 5106,30,Red,Medical technician,id Boutiques,2002 Toyota Corolla,GamblingPoint.is,A+,81.5,184,1/2/1989
506,male,Einar,Kjartansson,Hafnargata 8,Fáskrúðsfjörður,750,EinarKjartansson@superrito.com,460 0200,74,Black,Dental ceramist,Hastings,1992 Mercedes-Benz G,PopMoves.is,A+,91.4,177,9/26/1944
507,female,Mjöll,Snorradóttir,Norðurbrún 37,Sauðarkrókur,551,MjollSnorradottir@rhyta.com,462 6582,37,Blue,Treatment storage and disposal (TSD) worker,Alladin Realty,2002 Cadillac XLR,ReserveWireless.is,A+,103.8,154,11/6/1981
508,male,Hafþór,Geirmundsson,Norðurbraut 8,Reykjavík,112,HafthorGeirmundsson@teleworm.us,438 1237,35,Black,Director,Rickel,2012 Koenigsegg Agera,MachineTroubleshooting.is,B+,93.5,175,5/28/1984
509,male,Björgólfur,Ingólfsson,Dalbraut 63,Króksfjarðarnes,380,BjorgolfurIngolfsson@teleworm.us,425 1089,61,Black,Recruiter,Williams Bros.,2004 Toyota Camry,ExMortgages.is,A+,94.4,166,10/31/1957
510,female,Þórhalla,Agnarsdóttir,Hofsbót 37,Varmahlíð,560,THorhallaAgnarsdottir@jourrapide.com,451 7329,51,Red,Foreign language interpreter,Foot Quarters,1996 Maserati Shamal,MemberCorporation.is,O+,91.3,158,1/1/1968
511,female,Sólrún,Guðgeirsdóttir,Bjarg Dalbraut 88,Búðardalur,370,SolrunGudgeirsdottir@armyspy.com,488 6019,47,Black,Workforce development specialist,Golden's Distributors,2005 Renault Vel Satis,SpaceSkin.is,B+,79.8,172,10/28/1971
512,female,Embla,Atladóttir,Kirkjubraut 2,Laugar,650,EmblaAtladottir@superrito.com,414 6512,71,Purple,Counter clerk,Solid Future,1998 Jeep Grand Cherokee,LuckyDames.is,O+,77.1,156,7/26/1948
513,female,Agla,Birgisdóttir,Klapparstígur 74,Reykjavík,127,AglaBirgisdottir@armyspy.com,422 3595,65,Blue,Genetics nurse,Adapt,2011 Chevrolet Malibu,FreeSalmon.is,B+,103,169,7/20/1954
514,female,Ólafía,Reynisdóttir,Hvítárbakka 32,Ólafsfjörður,625,OlafiaReynisdottir@superrito.com,447 0616,47,Blue,Combined food preparation and serving worker,La Petite Boulangerie,2010 Fiat Siena,ExchangeRating.is,A+,70.9,159,4/19/1972
515,male,Friðfinnur,Níelsson,Solvellir 42,Breiðdalsvík,760,FridfinnurNielsson@teleworm.us,474 6428,74,Blue,Personnel associate,Cherry & Webb,2006 Chevrolet SSR,RepublicanStandard.is,A+,89.1,171,7/27/1945
516,female,Kristrún,Guðgeirsdóttir,Þórunnarstræti 33,Skagaströnd,545,KristrunGudgeirsdottir@rhyta.com,444 0248,20,Purple,Accounts payable clerk,Starship Tapes & Records,2001 Mitsubishi Galant,GraduateSites.is,B+,81.8,165,2/16/1999
517,male,Þórarinn,Daðason,Ártún 19,Reykjavík,110,THorarinnDadason@fleckens.hu,442 7702,64,Orange,Publication assistant,National Tea,1993 Infiniti G20,FavoriteChefs.is,A+,88.8,167,6/8/1955
518,female,Ólöf,Skúladóttir,Sundabakki 18,Ólafsvík,355,OlofSkuladottir@armyspy.com,454 3373,71,Black,Airfield operations specialist,SoundTrack,2006 Infiniti M,PsdDemo.is,A+,66.4,163,10/9/1947
519,female,Vala,Áskelsdóttir,Solvellir 97,Breiðdalsvík,760,ValaAskelsdottir@cuvox.de,462 3236,58,Green,Tool filer,H. J. Wilson & Company,2012 Toyota iQ,CardBrowse.is,O+,98.3,163,11/14/1960
520,female,Thelma,Finnbogadóttir,Hnjúkabyggð 79,Reykjavík,121,ThelmaFinnbogadottir@jourrapide.com,469 0133,76,Blue,Certified athletic trainer,Mission G,1997 Cadillac DeVille,WarSwan.is,B+,53.7,156,1/14/1943
521,female,Gunnhildur,Magnúsdóttir,Klettsbúð 66,Reykjavík,128,GunnhildurMagnusdottir@jourrapide.com,467 7768,57,Brown,Human resources information system specialist,Sholl's Colonial Cafeteria,1993 Bugatti EB 110,VisitorBiz.is,A+,100.7,159,7/16/1962
522,female,Fanndís,Eiríksdóttir,Garðavegur 33,Reykjavík,125,FanndisEiriksdottir@rhyta.com,485 2169,62,Blue,Ship engineer,Jeans Unlimited,2012 Renault Koleos,BoardConference.is,A+,98.2,161,1/10/1957
523,female,Íris,Finnbogadóttir,Þingvallastræti 85,Súðavík,420,IrisFinnbogadottir@teleworm.us,489 0703,40,Purple,Typesetting machine tender,Gamma Gas,2011 Hyundai Atos,FindJewelers.is,O+,86.9,165,6/24/1979
524,male,Ingimundur,Marinósson,Borgartuni 47,Reykjavík,131,IngimundurMarinosson@armyspy.com,482 3747,63,Blue,Mechanic,Musicland,2002 Kia Visto,QualityLasers.is,A+,62.1,169,1/19/1956
525,female,Emma,Helgadóttir,Hafnargata 38,Fáskrúðsfjörður,750,EmmaHelgadottir@gustr.com,483 7452,81,Blue,Professional athlete,Crown Auto Parts,2007 Chevrolet Colorado,CPAPost.is,A-,65.7,155,1/10/1938
526,female,Matthildur,Ellertsdóttir,Brekkustíg 61,Bakkafjörður,685,MatthildurEllertsdottir@rhyta.com,480 3704,22,Green,Taper,Vari-Tec,2015 Subaru Outback,CrashCorrection.is,O+,81.9,173,10/27/1996
527,female,Tinna,Hrafnsdóttir,Merkigerði 99,Laugarvatn,840,TinnaHrafnsdottir@rhyta.com,440 2879,62,Purple,Education administrator,One-Up Realty,2004 Toyota Avensis,CellTraders.is,B+,76.1,156,4/12/1957
528,male,Brynjólfur,Birkisson,Fjolnisgata 46,Akureyri,600,BrynjolfurBirkisson@teleworm.us,461 6815,71,Green,Cafeteria cook,Intelli Wealth Group,1996 Holden Statesman,ShowRingtones.is,O+,98.4,175,2/29/1948
529,male,Davíð,Vilbergsson,Borgarbraut 27,Mjóifjörður,715,DavidVilbergsson@superrito.com,476 6306,47,Blue,Procurement technician,Rainbow Bay Crafts,1994 Chrysler Viper,MommyDigest.is,B+,82.6,183,7/18/1972
530,male,Kim,Brynjarsson,Fagradalsbraut 59,Egilsstaðir,700,KimBrynjarsson@gustr.com,447 6414,55,Red,Property custodian,Manning's Cafeterias,2008 Toyota MR2,EditFrog.is,A+,90,167,5/18/1964
531,male,Gestur,Ástþórsson,Hafnarstraeti 18,Akureyri,603,GesturAstthorsson@teleworm.us,435 1203,50,Green,Real estate assessor,Yardbirds Home Center,2008 Mercedes-Benz A,MesotheliomaCounseling.is,A+,93.2,175,11/5/1968
532,male,Gabríel,Ólason,Gerðuberg 96,Grímsey,611,GabrielOlason@gustr.com,468 2488,73,Blue,Economist,The Sample,1992 Holden Nova,PersonalizedTones.is,A+,75.8,170,12/15/1945
533,female,Linda,Indriðadóttir,Hvítárbakka 21,Ólafsfjörður,625,LindaIndridadottir@fleckens.hu,411 1252,65,Red,Administrator,Audio Visions,2006 SsangYong Stavic,ProductBoost.is,B+,101.2,162,8/20/1954
534,male,Stephan,Gunnarsson,Hvanneyrarbraut 26,Seltjarnarnes,170,StephanGunnarsson@gustr.com,428 3257,78,Blue,Financial economist,K&G Distributors,2014 Ford Escape,ConnectionCreators.is,O+,79.8,184,3/18/1941
535,male,Valgarður,Brynjólfsson,Hlíðarenda 20,Fosshóll,645,ValgardurBrynjolfsson@gustr.com,424 3898,28,Blue,Oral and maxillofacial radiologist,Strawberries,2005 Daihatsu Charade,SearchLuggage.is,AB+,81.1,189,5/3/1991
536,female,Hildur,Bragadóttir,Fjölnisgata 52,Vogar,190,HildurBragadottir@fleckens.hu,453 6725,84,Purple,Soldier,Disc Jockey,2004 Vector M12,PureKeywords.is,B+,67.4,168,4/19/1935
537,female,Sveinfríður,Agnarsdóttir,Hlíðarvegur 66,Kirkjubæjarklaustur,880,SveinfridurAgnarsdottir@cuvox.de,433 6662,67,Blue,Land acquisition specialist,Asian Answers,2005 Daewoo Espero,CompanyReservations.is,A+,50.6,158,4/18/1952
538,female,Randi,Böðvarsdóttir,Gardabraut 83,Garður,250,RandiBodvarsdottir@superrito.com,461 5722,46,Blue,Athletic director,MegaSolutions,2014 Honda Crosstour,PimpleWash.is,A+,105.8,171,6/20/1973
539,female,Marín,Hauksdóttir,Skíðabraut 18,Dalvík,620,MarinHauksdottir@gustr.com,468 1287,25,Blue,Medical coder,Home Centers,2004 Marcos TS,DNSSpecialist.is,O+,67.8,159,2/12/1994
540,female,Agatha,Valbergsdóttir,Skíðabraut 97,Dalvík,620,AgathaValbergsdottir@einrot.com,471 6452,61,Black,Amusement machine servicer,Alladin Realty,2004 Kia Visto,TextVerify.is,O+,102.6,155,8/11/1958
541,male,Guðgeir,Guðbjarnarson,Gerðuberg 70,Grímsey,611,GudgeirGudbjarnarson@superrito.com,413 7758,74,Blue,Mine examiner,Strawberries,2000 BMW 750,LogoArchives.is,AB+,98.6,171,1/12/1945
542,male,Nikulás,Gautason,Gardatorg 11,Garðabær,212,NikulasGautason@dayrep.com,421 8375,32,Silver,Retail manager,Kleinhans,2005 Infiniti M,ElectronicCasting.is,O+,103.4,183,11/28/1986
543,male,Friðberg,Finnbogason,Aðalgata 60,Patreksfjörður,451,FridbergFinnbogason@jourrapide.com,411 5662,54,Red,Remedial education teacher,Musicland,2003 Chevrolet Silverado,VoipMachines.is,B+,70.7,184,10/28/1964
544,female,Sigurfinna,Eiríksdóttir,Holmatun 2,Bessastaðahreppur,225,SigurfinnaEiriksdottir@gustr.com,412 8512,74,Green,Electronics repairer,Holly Tree Inn,2008 Nissan Terrano,ClassInsider.is,A+,68.5,162,6/17/1945
545,female,Eyrún,Hrafnkelsdóttir,Byggðavegur 63,Stykkishólmur,340,EyrunHrafnkelsdottir@cuvox.de,452 1723,19,Purple,Recruiter,Superior Interior Design,1998 BMW V12,LongBomb.is,O-,52.8,162,4/7/2000
546,female,Erna,Friðbjarnardóttir,Garðavegur 42,Reykjavík,125,ErnaFridbjarnardottir@teleworm.us,461 4581,34,Green,Attendance clerk,Destiny Realty,2005 Toyota Caldina,DigitalMotels.is,A-,65.2,175,9/4/1985
547,female,Harpa,Gunnarsdóttir,Eyrarlandsvegur 31,Tálknafjörður,460,HarpaGunnarsdottir@armyspy.com,427 5898,60,Blue,Veterinarian,Security Sporting Goods,2001 Subaru WX 01,GolfingDiscounter.is,A+,55.9,153,1/29/1959
548,female,Valdís,Benediktsdóttir,Aðalgata 16,Patreksfjörður,451,ValdisBenediktsdottir@fleckens.hu,476 2191,20,Purple,Packager,Libera,2002 Chrysler Crossfire,StressWater.is,AB+,45.8,162,10/12/1998
549,male,Hreinn,Guðþórsson,Kringlan 78,Reykjavík,107,HreinnGudthorsson@gustr.com,474 6988,40,Blue,Scrub,De Pinna,2010 BMW 323,ResumeCompanies.is,O+,71.4,186,7/26/1979
550,female,Ellen,Benediktsdóttir,Gardatorg 87,Garðabær,212,EllenBenediktsdottir@dayrep.com,451 2014,41,Purple,Ordnance handling expert,Dream Home Real Estate Service,2012 Nissan Pixo,LawFanatic.is,O+,99.8,173,8/29/1978
551,female,Kristín,Ásgeirsdóttir,Kringlan 1,Reykjavík,107,KristinAsgeirsdottir@gustr.com,426 7685,47,Black,Oncology nurse,Star Assistance,1993 Toyota Aristo,WeatherProduct.is,A+,101.7,161,6/28/1972
552,male,Leó,Hreiðarsson,Geislagata 31,Hofsós,565,LeoHreidarsson@cuvox.de,487 8124,28,Red,Podiatric medical assistant,Hughes Markets,2008 Dacia Sandero,LacrosseHelp.is,B+,70.6,175,6/20/1991
553,male,Þorbjörn,Friðvinsson,Hrisateigur 32,Húsavík,641,THorbjornFridvinsson@fleckens.hu,439 3721,52,Blue,Automotive mechanic,Video Concepts,2006 Audi Q7,PhoneCaptions.is,O+,106.9,181,7/10/1967
554,female,Hildur,Mínervudóttir,Bergstaðarstræti 65,Reykjavík,103,HildurMinervudottir@dayrep.com,425 2465,69,Green,Corporate administrative assistant,Wealth Zone Group,1999 Bugatti Chiron,BackgroundBlog.is,A+,69.2,169,3/27/1950
555,male,Sveinn,Sigurvinsson,Borgarholtsbraut 13,Kópavogur,200,SveinnSigurvinsson@jourrapide.com,422 4729,55,Blue,Personal banker,J. B. Van Sciver,1998 Dodge Avenger,LongCultures.is,O+,63.8,171,5/3/1964
556,male,Valgarður,Jónatansson,Strandgata 40,Eskifjörður,735,ValgardurJonatansson@armyspy.com,416 5589,26,Blue,Heavy vehicle and mobile equipment mechanic,Standard Food,2007 Isuzu I-290,LawAlarm.is,A+,86.8,188,3/9/1993
557,female,Eivør,Níelsdóttir,Hverfisgata 5,Selfoss,801,EivorNielsdottir@rhyta.com,470 7294,57,Purple,Social worker,Monk Home Improvements,1999 Mitsubishi Space Wagon,PsychBowl.is,O+,68.7,165,7/20/1962
558,male,Aðalgeir,Friðfinnsson,Höfðastígur 92,Bolungarvík,415,AdalgeirFridfinnsson@einrot.com,438 3331,31,Blue,Clinical dietitian,Maxaprofit,2004 Hyundai Terracan,YellowShoppers.is,B+,77.3,190,11/10/1987
559,male,Baldur,Ólason,Breidamork 35,Hveragerði,810,BaldurOlason@jourrapide.com,413 3589,39,Red,Prosthetist,Team Uno,2002 Hyundai Getz,FemaleWish.is,A-,78.4,172,5/14/1980
560,male,Arnór,Guttormsson,Golfskálinn 78,Borgarnes,310,ArnorGuttormsson@dayrep.com,441 0006,45,White,Health educator,Target Source,1993 Chrysler Town & Country,WirelessDSLBlog.is,A+,81.9,184,11/27/1973
561,male,Matti,Jósefsson,Bjarkarstígur 83,Þingeyri,470,MattiJosefsson@rhyta.com,473 5364,65,Blue,Portfolio manager,Paul's Record Hut,2001 Alfa Romeo 147,DeadConnect.is,O+,110.1,181,10/7/1953
